sortorder,code,title,ExplanatoryNoteInclusion,ExplanatoryNoteExclusion
2000,"3000","Производство канцелярских, бухгалтерских и электронно-вычислительных машин","Эта подгруппа включает:
- производство механических и электрических пишущих машинок
- производство устройств для обработки текстов
- производство гектографов или копировально-множительных машин восковочного типа, машин для печатания адресов и канцелярских офсетных печатающих машин с полистной заправкой
- производство калькуляторов, кассовых аппаратов, почтовых франкировальных машин, специальных терминалов по продаже и резервированию билетов и т. п.
- производство фотокопировальной аппаратуры
- производство аппаратуры для автоматической обработки данных, включая микрокомпьютеры:
* цифровой аппаратуры
* аналоговой аппаратуры
* гибридной (цифро-аналоговой) аппаратуры
- производство периферийных блоков:
* терминалов, принтеров, графопостроителей и т. п.
* устройств для ввода данных: клавиатуры, мыши, джойстиков, ручек, графических планшетов и т. п.
* магнитных или оптических считающих и записывающих устройств
* запоминающих устройств компьютера
- производство прочих канцелярских машин или оборудования: 
* машин, сортирующих, завертывающих или считающих монеты; машин для автоматической выдачи банкнот; машин, раскладывающих отправления по конвертам, сортирующих почту; точилок для карандашей; дыроколов и машин, сшивающих скобками, и т. п.","Эта подгруппа не включает:
- производство электронных деталей вычислительных машин, см. 3210 
- производство электронных игр, см. 3694 
- техническое обслуживание и ремонт компьютерных систем, см. 7250"
1990,"300","Производство канцелярских, бухгалтерских и электронно-вычислительных машин",,
1980,"30","Производство канцелярских, бухгалтерских и электронно-вычислительных машин","Считается, что производство канцелярского оборудования (например, фотокопировальных машин, кассовых аппаратов и т. п.) и компьютерного оборудования (например, компьютеров, текстовых процессоров и периферийных устройств) включает его установку, но не включает его техническое обслуживание (725), разработку программного обеспечения (722) или производство электронных компонентов (321).",
1970,"2930","Производство бытовых приборов, не включенных в другие категории","Эта подгруппа включает:
- производство бытовых электроприборов:
* холодильников и морозильных камер, посудомоечных машин, стиральных машин и сушилок, пылесосов, полотеров, бытовых измельчителей мусора, кофемолок, миксеров, соковыжималок, консервных ножей, электробритв, электрических зубных щеток, ножеточек, вытяжных или циркуляционных шкафов
- производство бытовых электронагревательных приборов:
* электроводонагревателей, электроодеял, электросушилок, расчесок, щеток, бигуди; электроутюгов, электрообогревателей помещений и вентиляторов бытового назначения; электрических духовок, микроволновых печей, электрических плит, подогревателей для тарелок, тостеров, кофеварок и чайников, сковородок, ростеров, грилей, вытяжных шкафов, реостатов электрообогрева и т. п.
- производство неэлектрического бытового оборудования для приготовления пищи и обогревателей:
* неэлектрических обогревателей помещений, кухонных плит, колосниковых решеток, печей, водонагревателей, кухонных приборов, подогревателей для тарелок.","Эта подгруппа не включает:
- производство промышленного или коммерческого оборудования, см. 291 и 292
- производство промышленного холодильного и морозильного оборудования, см. 2919 
- производство оборудования для приготовления пищи в учреждениях общественного питания, см. 2925
- производство стиральных и сушильных машин для прачечных, см. 2926
- производство швейных машин, см. 2926"
1960,"293","Производство бытовых приборов, не включенных в другие категории",,
1950,"2929","Производство прочих машин специального назначения","Эта подгруппа охватывает производство машин специального назначения, не включенных в другие категории.

Эта подгруппа включает:
- производство машин для изготовления целлюлозы
- производство бумагоделательных машин и машин для изготовления картона
- производство сушилок для древесины, целлюлозы, бумаги или картона
- производство машин для изготовления изделий из бумаги или картона
- производство машин для обработки мягкой резины или пластмасс или для изготовления изделий из этих материалов:
* шприцмашин, формовочных машин, машин для изготовления пневматических шин или возобновления протекторов, а также других машин для изготовления особых изделий из резины или пластмасс
- производство печатных и переплетных машин, а также машин для вспомогательных печатных операций, включая машины для печати на тканях и других материалах
- производство литьевых форм для любого материала; поддонов для опок; литейных моделей; опок для металлов (кроме изложниц)
- производство машин для изготовления черепицы, кирпича, штампованных керамических паст, труб, графитовых электродов, школьного мела, литейных изложниц и т. п.
- производство машин по изготовлению полупроводников
- производство многофункциональных промышленных роботов
- производство прочих специальных машин и оборудования:
* машин для сборки электрических или электронных ламп, трубок или ламп накаливания
* машин для производства или горячей обработки стекла или стеклянных изделий, стекловолокна или пряжи
* машин или аппаратуры для выделения изотопов
* производство промышленных сушилок для одежды","Эта подгруппа не включает:
- производство машин и оборудования для обработки отвержденной резины, твердых пластмасс или холодного стекла, см. 2922 
- производство изложниц, см. 2923
- производство бытовых приборов, см. 2930 
- фотокопировальных машин и т. п., см. 3000"
1940,"2927","Производство оружия и военного снаряжения","Эта подгруппа включает:
- производство танков и других боевых машин
- производство тяжелого оружия (артиллерийских орудий, самоходных пушек, пусковых установок, торпедных труб, тяжелых пулеметов)
- производство стрелкового оружия (револьверов, винтовок, легких пулеметов)
- производство пневматических или газовых винтовок и пистолетов
- производство боеприпасов
- производство военных баллистических и управляемых ракет

Эта подгруппа также включает:
- производство охотничьего, спортивного или используемого в целях защиты стрелкового оружия и боеприпасов
- производство взрывных устройств, таких как бомбы, мины и торпеды","Эта подгруппа не включает:
- производство ударных капсюлей, детонаторов или сигнальных ракет, см. 2429 
- производство сабель, шпаг, штыков и т. п., см. 2893
- производство бронированных автомобилей для перевозки казначейских билетов и ценностей, см. 3410"
1930,"2926","Производство машин для текстильной, швейной и кожевенной промышленности","Эта подгруппа включает:
- производство машин для текстильной промышленности:
* машин для подготовки, изготовления, формования, вытягивания, текстурирования или резки искусственных текстильных волокон, материалов или пряжи
* машин для первичной обработки текстильного волокна: хлопкоочистительных машин, трепальных машин, машин для разработки крутых концов, хлопочесальных машин, шерстовальных машин, карбонизаторов шерсти, гребнечесальных машин, кардочесальных машин, ровничных рам и т. п.
* прядильных машин
* машин для подготовки пряжи к использованию: мотальных машин, сновальных машин и аналогичных машин
* ткацких машин (станков), в том числе ручных станков
* вязальных машин
* машин для изготовления ажурного полотна, тюля, кружев, басонных изделий и т. п.
- производство вспомогательных машин и оборудования для текстильных машин: 
* ремизоподъемных кареток, жаккардовых машин; механизмов автоматической смены шпуль; механизмов для замены челноков; веретен и банкоброшей и т. п.
- производство машин для обработки тканей:
* машин для мытья, отбелки, крашения, аппретирования, отделки, покрытия или пропитки текстильных тканей 
* машин для размотки пряжи в мотки и для размотки коконов, для укладки, резки или фестонной обработки текстильных тканей
- производство прачечного оборудования:
* гладильных машин, в том числе гладильных прессов
* производство стиральных и сушильных машин для прачечных
* производство машин для сухой химической чистки
- производство швейных машин, головок швейных машин и игл для швейных машин (бытового или небытового назначения)
- производство машин для изготовления или отделки фетра или нетканых материалов 
- производство машин для изготовления изделий из кожи:
* машин для первичной обработки, дубления или выделки крупных и мелких шкур или кожи
* машин для изготовления или ремонта обуви и других изделий из крупных и мелких шкур, кожи или меха","Эта подгруппа не включает:
- производство бумажных или картонных карт, используемых на жаккардовых машинах, см. 2109 
- производство гладильных машин каландрового типа, см. 2919 
- производство швейных машин, используемых в переплетном деле, см. 2929 
- производство машин для печати на тканях, см. 2929
- производство бытовых стиральных и сушильных машин, см. 2930"
1920,"2925","Производство машин для обработки пищевых продуктов, напитков и табачных изделий","Эта подгруппа включает:
- производство сушилок, используемых в сельском хозяйстве
- производство машин для молочной промышленности: 
* молочных сепараторов
* машин для обработки молока (гомогенизаторов и иррадиаторов)
* машин для преобразования молока (маслобоек, масломешалок и формовочных машин)
* сыроваренных машин (гомогенизаторов, формовочных машин, прессов) и т. п.
- производство машин для мукомольной промышленности:
* машин для очистки, сортировки и калибровки семян, зерна и сухих бобовых (веялок, высевающих ремней, сепараторов, щеточных зерноочистительных машин и т. п.)
* машин, используемых для производства муки тонкого и грубого помола и т. п. (мельниц, загрузочных механизмов, сит, механизмов для очистки от высевок, смесителей, шелушильных поставов для риса, горохолущильных машин)
- производство прессов, давилок и аналогичного оборудования, используемого для изготовления вина, сидра, фруктовых соков и т. п.
- производство машин для использования в хлебопекарном производстве или для изготовления макарон, спагетти или аналогичных изделий: 
* хлебопекарных печей, тестомешалок, тесторазделителей, формовочных столов, ломтерезок, оборудования для выпечки пирожных и т. д.
- производство машин и оборудования для обработки различных пищевых продуктов:
* машин для производства кондитерских изделий, какао или шоколада; для производства сахара; для пивоваренных заводов; для обработки мяса или птицы; для первичной обработки фруктов, орехов и овощей; для первичной обработки рыбы, моллюсков и других морепродуктов
* машин для фильтрования и очистки
* других машин для промышленной обработки или производства пищевых продуктов и напитков
- производство машин для извлечения и приготовления нелетучих животных или растительных жиров и масел
- производство машин для предварительной обработки табака и изготовления сигарет или сигар или же для изготовления трубочного, жевательного или нюхательного табака
- производство машин для приготовления пищи в гостиницах и ресторанах","Эта подгруппа не включает:
- производство упаковочных и оберточных машин, весоизмерительного оборудования, см. 2919 
- производство машин для очистки, сортировки и калибровки яиц, фруктов или других сельскохозяйственных культур (кроме семян, зерна и сухих бобовых), см. 2921"
1910,"2924","Производство машин для горнодобывающей промышленности, разработки карьеров и строительства","Эта подгруппа включает:
- производство подъемных устройств непрерывного действия и конвейеров для использования под землей
- производство бурильных, выемочных и проходческих машин, а также машин для прокладки туннелей (предназначенных или не предназначенных для использования под землей)
- производство машин для обработки минералов путем просеивания, сортировки, отделения, промывки, дробления и т. п.
- производство бетономешалок или мешалок для строительного раствора
- производство землеотвальных машин:
* бульдозеров и универсальных бульдозеров, грейдеров, выравнивателей, скреперов, механических лопат, ковшовых погрузчиков и т. п.
- производство машин для забивки и извлечения свай, растворораспределителей, распределителей битума, машин для отделки поверхностного слоя бетона и т. д.
- производство гусеничных тракторов и тракторов, используемых в строительстве или в горнодобывающей промышленности
- производство отвальных ножей для бульдозеров и универсальных бульдозеров","Эта подгруппа не включает:
- производство подъемного и такелажного оборудования, см. 2915
- производство других тракторов, см. 2921 и 3410 
- производство станков для обработки камня, в том числе машин для раскалывания или расщепления камня, см. 2922 
- производство грузовиков-бетономешалок, см. 3410"
1900,"2923","Производство машин для металлургии","Эта подгруппа включает:
- производство машин и оборудования для обработки жидких металлов:
* конвертеров, изложниц, ковшей и разливочных машин
- производство прокатных станов и валов для таких станов","Эта подгруппа не включает:
- производство волочильных станков, см. 2922 
- производство опок и литейных форм (за исключением изложниц), см. 2929 
- производство машин для изготовления литейных опок, см. 2929"
1890,"2922","Производство станков","Эта подгруппа включает:
- производство станков для обработки металлов и других материалов (таких, как дерево, кость, камень, отвержденная резина, твердые пластмассы, холодное стекло и т. д.), в том числе с помощью лазерного луча, ультразвуковых волн, плазменной дуги, магнитного импульса и т. п. 
- производство токарных, сверлильных, фрезерных, поперечно-строгальных, строгальных, расточных, шлифовальных и т. п.
- производство штамповочных станков или прессов
- производство листоштамповочных прессов, гидравлических прессов, гидравлических отбойников, падающих молотов, ковочных машин и т. д.
- производство волочильных станков, резьбонакатных роликов или станков для обработки проволоки
- производство станков для крепления гвоздями, скобами, склеивания или иной сборки деталей из дерева, пробки, кости, отвержденной резины или твердых пластмасс и т. п.
- производство станков для газовой или электрической сварки, для пайки твердым или мягким припоем
- производство ручного инструмента с автономным электрическим или неэлектрическим двигателем или с пневматическим приводом 
- производство дрелей или дрелей с пробойником, цепных пил, опиловочных станков, клепальных машин и резаков листового металла и т. п.
- производство прессов для производства древесно-стружечных плит и аналогичных материалов

Эта подгруппа также включает:
- производство деталей и принадлежностей для станков, классифицированных в данной категории: рабочих держателей, разграничителей и других специальных приспособлений для станков","Эта подгруппа не включает:
- производство взаимозаменяемых насадок для ручных инструментов или станков (сверл, пробойников, кернеров, метчиков, фрез, токарных инструментов, полотен для пил, резаков и т. п.), см. 2893 
- производство машин, используемых на металлургических заводах или в литейных цехах, см. 2923
- производство машин для горнодобывающей промышленности и разработки карьеров, см. 2924"
1880,"2921","Производство машин для сельского хозяйства и лесоводства","Эта подгруппа включает:
- производство тракторов, используемых в сельском хозяйстве и лесоводстве
- производство тракторов с выносным управлением
- производство косилок, в том числе газонокосилок
- производство сельскохозяйственных самозагружающихся и саморазгружающихся прицепов и полуприцепов 
- производство сельскохозяйственных машин для подготовки почвы, посадки культур и внесения удобрений
* борон, навозоразбрасывателей, сеялок, прополочных культиваторов и т. д. 
- производство уборочных машин и молотилок:
* уборочных машин, молотильных комбайнов, сортировочных машин и т. п.
- производство доильных аппаратов
- производство разбрызгивающих устройств для сельскохозяйственного использования
- производство прочих машин, используемых в сельском хозяйстве:
* машин для птицеводства, машин для пчеловодства, оборудования для приготовления кормов и т. д.
* машин для очистки, сортировки и калибровки яиц, фруктов и т. п.","Эта подгруппа не включает:
- производство ручного инвентаря, используемого в сельском хозяйстве, без силового привода, см. 2893 
- производство транспортеров для использования на фермах, см. 2915 
- производство ручного инвентаря с силовым приводом, см. 2922
- производство молочных сепараторов, см. 2925 
- машин для очистки, сортировки или калибровки семян, зерна или сухих бобовых, см. 2925 
- производство дорожных тягачей для полуприцепов, см. 3410
- производство дорожных прицепов или полуприцепов, см. 3420"
1870,"292","Производство машин специального назначения",,
1860,"2919","Производство других машин общего назначения","Эта подгруппа включает:
- производство холодильного или морозильного оборудования, в том числе узлов из основных компонентов
- производство кондиционеров воздуха, в том числе для автомобилей
- производство промышленных вентиляторов
- производство весоизмерительного оборудования (кроме высокоточных лабораторных весов): 
* бытовых и магазинных весов, напольных весов, весов для непрерывного взвешивания, мостовых весов, гирь и т. п.
- производство фильтрующих или очищающих машин и аппаратов для жидкостей
- производство оборудования для распыления, рассеивания или разбрызгивания жидкостей или порошков:
* распылителей, огнетушителей, пескоструйных машин, пароочистительных машин и аналогичных струйно-распылительных машин
- производство упаковочных и оберточных машин: 
* машин, выполняющих такие операции, как наполнение, закрывание, запечатывание, закрывание колпачками или этикетирование емкостей
- производство машин для мытья и сушки бутылок и других емкостей или для газирования напитков
- производство перегонных или ректификационных установок для нефтеперерабатывающих заводов, химических предприятий, заводов по производству напитков и т. п. 
- производство теплообменников
- производство машин для сжижения воздуха или газа
- производство газогенераторов
- производство каландров или других вальцовых машин и цилиндров к ним (кроме предназначенных для прокатки металлов или стекла)
- производство центрифуг (кроме молочных сепараторов и сушилок для белья)
- производство сальников и аналогичных сочленений, изготовленных из нескольких материалов или из слоев одного и того же материала
- производство автоматов по продаже товаров
- производство деталей для машин и оборудования общего назначения","Эта подгруппа не включает:
- производство разбрызгивающих установок, специально предназначенных для использования в сельском хозяйстве, см. 2921 
- производство машин для прокатки металла или стекла и цилиндров к ним, см. 2923, 2929 
- производство сушильного оборудования сельскохозяйственного назначения, машин для фильтрования или очистки пищевых продуктов, см. 2925 
- производство молочных сепараторов, см. 2925
- производство промышленных сушилок для белья, см. 2929 
- производство бытового холодильного или морозильного оборудования, см. 2930 
- производство бытовых вентиляторов, см. 2930
- производство высокоточных весов, см. 3312"
1850,"2915","Производство подъемного и такелажного оборудования","Эта подгруппа включает:
- производство оборудования с ручным управлением или с механическим приводом для подъемных, такелажных, погрузочных или разгрузочных работ: 
* сложных блоков и полиспастов, лебедок, кабестанов и домкратов
* деррик-кранов, кранов, передвижных подъемных установок, портальных транспортеров и т. п.
* автопогрузчиков, снабженных или не снабженных подъемным краном или другим подъемным или такелажным оборудованием, самоходных или несамоходных, которые используются на заводах
* механических манипуляторов и промышленных роботов, специально предназначенных для подъемных, такелажных, погрузочных или разгрузочных работ
- производство конвейеров, телефериков
- производство лифтов, эскалаторов, движущихся тротуаров
- производство деталей, специально предназначенных для подъемного и такелажного оборудования

Эта подгруппа также включает:
- техническое обслуживание лифтов и эскалаторов","Эта подгруппа не включает:
- производство подъемников и конвейеров непрерывного действия для использования под землей, см. 2924
- производство механических лопат, экскаваторов и погрузчиков экскаваторов, см. 2924
- производство многофункциональных промышленных роботов, см. 2929
- производство плавучих кранов, рельсовых кранов, кранов-грузовиков, см. 3511, 3520
- установку лифтов и оборудования, см. 4530"
1840,"2914","Производство обжиговых печей, вагранок и печных горелок","Эта подгруппа включает:
- производство электрических и прочих промышленных и лабораторных вагранок и печей, в том числе установок для сжигания отходов
- производство горелок

Эта подгруппа также включает:
- производство механических стокеров, колосников, золоудалителей и т. п.","Эта подгруппа не включает:
- производство сельскохозяйственных сушилок, см. 2925
- производство хлебопекарных печей, см. 2925
- производство сушилок для древесины, целлюлозы, бумаги или картона, см. 2929 
- производство бытовых печей, см. 2930
- производство медицинских, хирургических и лабораторных стерилизаторов, см. 3311"
1830,"2913","Производство подшипников, шестеренок, элементов зубчатых передач и приводов","Эта подгруппа включает:
- производство шариковых и роликовых подшипников и их деталей
- производство механического трансмиссионного оборудования:
* трансмиссионных валов и кривошипов: распределительных валов, коленчатых валов, кривошипов и т. п.
* корпусов подшипников и простых валов
- производство шестеренок и зубчатых передач, коробок передач и других элементов коробок переключения скоростей
- производство муфт сцепления и воздушных муфт
- производство маховиков и блоков
- производство шарнирной цепи
- производство приводных цепей
- производство гидравлического трансмиссионного оборудования","Эта подгруппа не включает:
- производство прочих цепей, см. 2899
- производство электромагнитных муфт, см. 3190
- производство сборочных узлов оборудования силовой передачи, распознаваемых как детали автомобилей или летательных аппаратов, см. подразделы 34 и 35"
1820,"2912","Производство насосов, компрессоров, пробок и клапанов","Эта подгруппа включает:
- производство воздушных или вакуумных насосов, воздушных или других газовых компрессоров
- производство жидкостных насосов, снабженных или не снабженных измерительными приборами
- насосов, предназначенных для использования с двигателями внутреннего сгорания: масляных, водяных и топливных насосов для автомобилей и т. п.

Эта подгруппа также включает:
- производство гидравлического силового оборудования и пневматических двигателей и моторов
- производство пробок и клапанов для использования в промышленности, включая регулирующие клапаны и сливные пробки
- производство пробок и клапанов для сантехнических устройств
- производство пробок и клапанов для систем отопления
- производство ручных насосов","Эта подгруппа не включает:
- производство клапанов, изготовляемых из неотвержденной вулканизированной резины, стекла или керамических материалов, см. 2519, 2610 и 2691
- производство гидравлического трансмиссионного оборудования, см. 2913
- производство бытовых вентиляторов, см. 2930 
- производство впускных и выпускных клапанов двигателей внутреннего сгорания, см. 3430 и 3530"
1810,"2911","Производство двигателей и турбин, кроме авиационных, автомобильных и мотоциклетных двигателей","Эта подгруппа включает:
- производство двигателей внутреннего сгорания и деталей двигателей, кроме двигателей, предназначенных для приведения в движение автомобилей или летательных аппаратов:
* судовых двигателей
* двигателей рельсового транспорта
- производство турбин и частей турбин:
* паровых турбин различного вида
* гидравлических турбин, водяных колес и регулирующих их механизмов
* ветряков
* газовых турбин, кроме турбореактивных и турбовинтовых двигателей, предназначенных для приведения в движение летательных аппаратов
- котельно-турбинных установок","Эта подгруппа не включает:
- производство электрогенераторов, см. 3110
- производство электрического оборудования или комплектующих двигателей внутреннего сгорания, см. 3190
- производство автомобильных, мотоциклетных двигателей и двигателей для летательных аппаратов, см. 3410, 3530, 3591
- производство турбореактивных и турбовинтовых двигателей, см. 3530"
1800,"291","Производство машин общего назначения",,
1790,"29","Производство машин и оборудования, не включенных в другие категории","Этот подраздел охватывает производство машин и оборудования, которые автономно воздействуют на материалы либо механически, либо термически или выполняют те или иные операции с материалами (такие, как обработка, опрыскивание, взвешивание или упаковка), включая производство их механических компонентов, которые создают силу или оказывают силовое воздействие, а также любые специально изготовленные основные узлы. Данная категория включает неподвижно закрепленные, передвижные или ручные устройства независимо от того, предназначены ли они для использования в промышленности, в строительстве, в частности в гражданском строительстве, сельском хозяйстве, в сфере обороны или в быту. К этому подразделу также относится производство оружия и специального оборудования для пассажирского и грузового транспорта в пределах ограниченной территории.
Данный подраздел не включает производство металлических изделий общего назначения (подраздел 28), соответствующих устройств управления, компьютерного оборудования, измерительного и испытательного оборудования, электрораспределительной аппаратуры и аппаратуры управления (подразделы 30-33) и автотранспортных средств общего назначения (подразделы 34 и 35).
В подразделе 29 проводится различие между производством машин и компонентов общего назначения и машин и компонентов специального назначения; подраздел включает производство:
- моторов и двигателей (кроме электромоторов), турбин, насосов, компрессоров, клапанов и трансмиссий
- печей, горелок, грузоподъемного и грузообрабатывающего оборудования, охлаждающего и вентиляционного оборудования, прочих машин общего назначения (например, упаковочного оборудования, весов и водоочистного оборудования)
- сельскохозяйственных машин, станков, машин и оборудования для конкретных промышленных процессов (например, для производства металлов, строительства, в частности гражданского строительства, горного дела или производства продовольственных товаров, текстильных изделий, бумаги, печатных материалов, изделий из пластмассы и резины)
- оружия и боеприпасов
- бытовых приборов (с электроприводом и без электропривода)",
